1600,2017-11-17T12:24:28.000Z,6,Verk??/Ferry via Lyckeby,2017-11-17T11:24:41.714Z,15.5849257,52,2017-11-17T12:25:10.000Z,Karlskrona centralstation,2017-11-17T12:24:28,1,101225,56.16478,42,2017-11-17T12:25:10
1151,2017-11-17T12:24:35.000Z,500,Kalmar,2017-11-17T11:24:41.714Z,15.858367,199,2017-11-17T12:25:55.000Z,N Binga,2017-11-17T12:24:35,50,101252,56.20182,10,2017-11-17T12:25:55
1927,2017-11-17T12:24:36.000Z,1,,2017-11-17T11:24:41.714Z,15.5925722,-27,,Campus Gr??svik,2017-11-17T12:24:36,0,101211,56.1805649,109,9999-12-31T23:59:59.9999999
1927,2017-11-17T12:24:36.000Z,1,Tross??,2017-11-17T11:24:41.714Z,15.5925722,-24,2017-11-17T12:24:37.000Z,Campus Gr??svik,2017-11-17T12:24:36,0,101211,56.1805649,109,2017-11-17T12:24:37
4134,2017-11-17T12:24:37.000Z,432,Nogersund via Mj??llby,2017-11-17T11:24:41.714Z,14.7309809,531,2017-11-17T12:24:05.000Z,R??keriv??gen,2017-11-17T12:24:37,0,100459,56.00881,28,2017-11-17T12:24:05
1140,2017-11-17T12:24:37.000Z,2,J??mj??,2017-11-17T11:24:41.714Z,15.728569,368,2017-11-17T12:26:19.000Z,Ramdala,2017-11-17T12:24:37,95,101273,56.18278,38,2017-11-17T12:26:19
2100,2017-11-17T12:24:37.000Z,150,Ronneby,2017-11-17T11:24:41.714Z,15.2911291,80,2017-11-17T12:24:48.000Z,Br??knev??gen,2017-11-17T12:24:37,311,100414,56.20261,14,2017-11-17T12:24:48
2090,2017-11-17T12:24:38.000Z,23,Hjorth??jden via Maxi,2017-11-17T11:24:41.714Z,15.26786,223,2017-11-17T12:24:54.000Z,Tuvegatan,2017-11-17T12:24:38,332,101214,56.2083549,31,2017-11-17T12:24:54
1402,2017-11-17T12:24:38.000Z,150,Karlskrona,2017-11-17T11:24:41.714Z,15.5726795,106,2017-11-17T12:26:00.000Z,Silleboda,2017-11-17T12:24:38,69,100451,56.2117577,13,2017-11-17T12:26:00
1109,2017-11-17T12:24:38.000Z,12,Gullberna Park,2017-11-17T11:24:41.715Z,15.6384516,50,2017-11-17T12:25:37.000Z,Lallerstedts gata,2017-11-17T12:24:38,330,101270,56.1954956,14,2017-11-17T12:25:37
2024,2017-11-17T12:24:38.000Z,21,,2017-11-17T11:24:41.715Z,15.2684145,74,,S??rby,2017-11-17T12:24:38,109,101205,56.21874,27,9999-12-31T23:59:59.9999999
2024,2017-11-17T12:24:39.000Z,21,,2017-11-17T11:24:41.715Z,15.2684145,74,,S??rby,2017-11-17T12:24:39,109,101205,56.21874,27,9999-12-31T23:59:59.9999999
1313,2017-11-17T12:24:39.000Z,4,Centrum,2017-11-17T11:24:41.715Z,15.6275129,25,2017-11-17T12:25:15.000Z,M??rt??v??gen,2017-11-17T12:24:39,205,100458,56.2533569,53,2017-11-17T12:25:15
1600,2017-11-17T12:24:40.000Z,1,Salt??,2017-11-17T11:24:41.715Z,15.5846243,55,2017-11-17T12:23:17.000Z,Karlskrona centralstation,2017-11-17T12:24:40,0,101206,56.16614,107,2017-11-17T12:23:17
1408,2017-11-17T12:24:39.000Z,5,,2017-11-17T11:24:41.715Z,0,160,,Sk??nstavik,2017-11-17T12:24:39,0,100461,0,42,9999-12-31T23:59:59.9999999
1408,2017-11-17T12:24:40.000Z,5,N??ttraby,2017-11-17T11:24:41.715Z,0,159,2017-11-17T12:24:38.000Z,Sk??nstavik,2017-11-17T12:24:40,0,100461,0,42,2017-11-17T12:24:38
8093,2017-11-17T12:24:40.000Z,500,Karlskrona,2017-11-17T11:24:41.715Z,16.1389313,134,2017-11-17T12:42:49.000Z,Bergkvara busstation,2017-11-17T12:24:40,213,101256,56.6101,7,2017-11-17T12:42:49
2023,2017-11-17T12:24:42.000Z,21,Kallinge via Rydenskan,2017-11-17T11:24:41.715Z,15.26869,75,2017-11-17T12:25:19.000Z,Stadshuset Maxi,2017-11-17T12:24:42,116,101205,56.2186661,27,2017-11-17T12:25:19
2301,2017-11-17T12:24:40.000Z,600,Karlskrona via Karlshamn/Ronneby,2017-11-17T11:24:47.995Z,15.3145275,143,2017-11-17T12:30:14.000Z,Listerby E22,2017-11-17T12:24:40,64,101255,56.2031822,23,2017-11-17T12:30:14
1146,2017-11-17T12:24:41.000Z,2,Centrum,2017-11-17T11:24:47.996Z,15.8322105,213,2017-11-17T12:24:56.000Z,Ekedalsv??gen,2017-11-17T12:24:41,255,100407,56.1915855,53,2017-11-17T12:24:56
1934,2017-11-17T12:24:41.000Z,3,Bastasj??,2017-11-17T11:24:47.996Z,15.6466475,10,2017-11-17T12:25:03.000Z,Lyckeby Slottsbacken,2017-11-17T12:24:41,38,101217,56.1970024,40,2017-11-17T12:25:03
1135,2017-11-17T12:24:41.000Z,4,,2017-11-17T11:24:47.996Z,15.59497,117,,Galgamarkstrappan,2017-11-17T12:24:41,0,100415,56.17764,40,9999-12-31T23:59:59.9999999
1135,2017-11-17T12:24:42.000Z,4,R??deby  Alnaryd,2017-11-17T11:24:47.996Z,15.5949688,119,2017-11-17T12:24:35.000Z,Galgamarkstrappan,2017-11-17T12:24:42,0,100415,56.1776466,40,2017-11-17T12:24:35
3191,2017-11-17T12:24:41.000Z,600,Karlskrona via Karlshamn/Ronneby,2017-11-17T11:24:47.996Z,14.637166,94,2017-11-17T12:28:07.000Z,Pukaviks rondell,2017-11-17T12:24:41,133,101259,56.1777,25,2017-11-17T12:28:07
3180,2017-11-17T12:24:43.000Z,310,Sv??ngsta via Korpadalen,2017-11-17T11:24:47.997Z,14.8668728,113,2017-11-17T12:24:47.000Z,Tingshuset,2017-11-17T12:24:43,335,100409,56.1731377,34,2017-11-17T12:24:47
1062,2017-11-17T12:24:44.000Z,1,Lyckeby,2017-11-17T11:24:47.997Z,15.579915,104,2017-11-17T12:24:13.000Z,Varvet,2017-11-17T12:24:44,0,101224,56.1592865,106,2017-11-17T12:24:13
1041,2017-11-17T12:24:43.000Z,1,Lyckeby,2017-11-17T11:24:47.997Z,15.644515,59,2017-11-17T12:24:58.000Z,Amiralen,2017-11-17T12:24:43,247,101204,56.19687,98,2017-11-17T12:24:58
2317,2017-11-17T12:24:43.000Z,23,Hjorth??jden via Maxi,2017-11-17T11:24:47.997Z,15.2673225,207,2017-11-17T12:12:09.000Z,Lugnet,2017-11-17T12:24:43,330,101214,56.2089043,31,2017-11-17T12:12:09
1001,2017-11-17T12:24:44.000Z,1,Kungsmarken,2017-11-17T11:24:47.997Z,15.5869,104,2017-11-17T12:24:03.000Z,Kungsplan,2017-11-17T12:24:44,0,101219,56.16549,104,2017-11-17T12:24:03
4046,2017-11-17T12:24:45.000Z,432,Nogersund via Mj??llby,2017-11-17T11:24:47.998Z,14.7313366,530,2017-11-17T12:25:26.000Z,Nogersunds hamn,2017-11-17T12:24:45,140,100459,56.0085754,28,2017-11-17T12:25:26
3191,2017-11-17T12:24:45.000Z,600,Olofstr??m via Ronneby/Karlshamn,2017-11-17T11:24:47.998Z,14.83114,305,2017-11-17T12:34:11.000Z,Pukaviks rondell,2017-11-17T12:24:45,275,101262,56.18686,18,2017-11-17T12:34:11
1041,2017-11-17T12:24:45.000Z,2,J??mj??  Sturk??/Torhamn,2017-11-17T11:24:47.998Z,15.63611,-51,2017-11-17T12:25:53.000Z,Amiralen,2017-11-17T12:24:45,114,100455,56.195858,40,2017-11-17T12:25:53
1076,2017-11-17T12:24:45.000Z,6,Centrum,2017-11-17T11:24:47.998Z,15.6621675,35,2017-11-17T12:24:59.000Z,Ekedalsv??gen,2017-11-17T12:24:45,10,101222,56.1929779,41,2017-11-17T12:24:59
3036,2017-11-17T12:24:46.000Z,310,,2017-11-17T11:24:47.998Z,14.77655,185,,Recordv??gen,2017-11-17T12:24:46,0,101237,56.2599335,41,9999-12-31T23:59:59.9999999
3036,2017-11-17T12:24:46.000Z,310,Centrum via Korpadalen,2017-11-17T11:24:47.998Z,14.77655,185,2017-11-17T12:23:43.000Z,Recordv??gen,2017-11-17T12:24:46,0,101237,56.2599335,41,2017-11-17T12:23:43
2301,2017-11-17T12:24:45.000Z,600,Olofstr??m via Ronneby/Karlshamn,2017-11-17T11:24:47.998Z,15.509963,30,2017-11-17T12:30:46.000Z,Listerby E22,2017-11-17T12:24:45,261,101260,56.2023354,20,2017-11-17T12:30:46
1151,2017-11-17T12:24:46.000Z,500,Kalmar,2017-11-17T11:24:47.999Z,15.8616238,200,2017-11-17T12:25:55.000Z,N Binga,2017-11-17T12:24:46,49,101252,56.203373,10,2017-11-17T12:25:55
3036,2017-11-17T12:24:47.000Z,310,Centrum via Korpadalen,2017-11-17T11:24:53.325Z,14.77655,186,2017-11-17T12:23:43.000Z,Recordv??gen,2017-11-17T12:24:47,0,101237,56.2599335,41,2017-11-17T12:23:43
1037,2017-11-17T12:24:46.000Z,2,Centrum,2017-11-17T11:24:53.325Z,15.6338577,219,2017-11-17T12:28:33.000Z,Annebo,2017-11-17T12:24:46,274,101231,56.19619,51,2017-11-17T12:28:33
3180,2017-11-17T12:24:47.000Z,310,,2017-11-17T11:24:53.325Z,14.8666782,116,,Tingshuset,2017-11-17T12:24:47,336,100409,56.1734161,34,9999-12-31T23:59:59.9999999
3001,2017-11-17T12:24:47.000Z,310,Sv??ngsta via Korpadalen,2017-11-17T11:24:53.328Z,14.8666039,109,2017-11-17T12:26:06.000Z,Resecentrum,2017-11-17T12:24:47,336,100409,56.17351,34,2017-11-17T12:26:06
1408,2017-11-17T12:24:46.000Z,5,,2017-11-17T11:24:53.328Z,0,165,,Sk??nstavik,2017-11-17T12:24:46,0,100461,0,42,9999-12-31T23:59:59.9999999
1140,2017-11-17T12:24:47.000Z,2,J??mj??,2017-11-17T11:24:53.328Z,15.7322979,369,2017-11-17T12:26:19.000Z,Ramdala,2017-11-17T12:24:47,89,101273,56.18268,38,2017-11-17T12:26:19
1408,2017-11-17T12:24:48.000Z,5,N??ttraby,2017-11-17T11:24:53.328Z,0,167,2017-11-17T12:24:38.000Z,Sk??nstavik,2017-11-17T12:24:48,0,100461,0,42,2017-11-17T12:24:38
1037,2017-11-17T12:24:48.000Z,5,,2017-11-17T11:24:53.328Z,15.6044369,258,,Annebo,2017-11-17T12:24:48,242,100418,56.18584,51,9999-12-31T23:59:59.9999999
1402,2017-11-17T12:24:48.000Z,150,Karlskrona,2017-11-17T11:24:53.328Z,15.5763969,106,2017-11-17T12:26:00.000Z,Silleboda,2017-11-17T12:24:48,69,100451,56.21254,13,2017-11-17T12:26:00
1600,2017-11-17T12:24:39.000Z,6,Verk??/Ferry via Lyckeby,2017-11-17T11:24:53.328Z,15.5847483,52,2017-11-17T12:25:10.000Z,Karlskrona centralstation,2017-11-17T12:24:39,333,101225,56.16517,42,2017-11-17T12:25:10
2315,2017-11-17T12:24:49.000Z,22,Kallinge via S??rbydal,2017-11-17T11:24:53.329Z,0,191,2017-11-17T12:25:46.000Z,S??rbydal,2017-11-17T12:24:49,0,101208,0,29,2017-11-17T12:25:46
8093,2017-11-17T12:24:49.000Z,500,Karlskrona,2017-11-17T11:24:53.329Z,16.136879,133,2017-11-17T12:42:49.000Z,Bergkvara busstation,2017-11-17T12:24:49,208,101256,56.6081161,7,2017-11-17T12:42:49
1029,2017-11-17T12:24:49.000Z,1,Salt??,2017-11-17T11:24:53.329Z,15.6311951,354,2017-11-17T12:25:26.000Z,Backabo,2017-11-17T12:24:49,247,101212,56.20424,111,2017-11-17T12:25:26
1403,2017-11-17T12:24:49.000Z,5,Centrum,2017-11-17T11:24:53.329Z,15.5306015,49,2017-11-17T12:23:47.000Z,N??ttraby h??rnet,2017-11-17T12:24:49,0,101269,56.206974,53,2017-11-17T12:23:47
1109,2017-11-17T12:24:49.000Z,3,Centrum,2017-11-17T11:24:53.329Z,15.6385088,79,2017-11-17T12:25:41.000Z,Lallerstedts gata,2017-11-17T12:24:49,320,101226,56.19546,51,2017-11-17T12:25:41
2023,2017-11-17T12:24:49.000Z,21,Kallinge via Rydenskan,2017-11-17T11:24:53.329Z,15.2694931,71,2017-11-17T12:25:52.000Z,Stadshuset Maxi,2017-11-17T12:24:49,137,101205,56.2182922,27,2017-11-17T12:25:52
1109,2017-11-17T12:24:50.000Z,12,Gullberna Park,2017-11-17T11:24:53.329Z,15.6366472,51,2017-11-17T12:25:37.000Z,Lallerstedts gata,2017-11-17T12:24:50,292,101270,56.1957855,14,2017-11-17T12:25:37
1037,2017-11-17T12:24:51.000Z,5,Centrum,2017-11-17T11:24:53.329Z,15.6044073,261,2017-11-17T12:24:59.000Z,Annebo,2017-11-17T12:24:51,0,100418,56.18581,51,2017-11-17T12:24:59
1927,2017-11-17T12:24:51.000Z,1,Tross??,2017-11-17T11:24:53.329Z,15.5925388,-11,2017-11-17T12:24:37.000Z,Campus Gr??svik,2017-11-17T12:24:51,0,101211,56.18056,109,2017-11-17T12:24:37
1001,2017-11-17T12:24:51.000Z,1,Salt??,2017-11-17T11:24:53.330Z,15.5846224,56,2017-11-17T12:25:31.000Z,Kungsplan,2017-11-17T12:24:51,0,101206,56.1660919,107,2017-11-17T12:25:31
